,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
0,agdenes,1693,452,672,216,48,8,6 214,"85,4",4,"80,1",84,6,27 390,111 076,108 621
1,alstahaug,7415,1853,2346,1333,376,26,21 580,"80,7","6,8",79,"83,3","1,4",127 095,105 655,103 230
2,alta,20665,5074,5585,4020,1017,100,27 824,"80,9","5,9","77,2","82,3","1,4",94 850,101 891,99 762
3,alvdal,2418,477,949,380,72,11,7 046,"84,1","6,9","78,9",83,"-1,7",99 351,109 330,107 789
4,andoy,4771,1417,1689,675,161,32,10 756,79,"9,2",79,"83,3","3,1",63 120,96 235,92 326
5,aremark,1357,398,535,184,32,4,9 570,"81,6","8,2","79,1","82,8",4,113 797,105 825,103 592
6,arendal,44784,9697,14054,8320,2737,208,86 392,"69,9","14,3","78,8","83,3","1,8",87 679,83 724,82 041
7,asker,61523,8598,14280,14932,8853,314,154 313,"64,3","12,2","80,5","84,3","3,8",75 119,83 144,81 837
8,askim,15865,4450,5134,2227,549,110,41 418,"65,8","16,7","79,1","82,8","2,1",64 859,79 336,77 508
9,askvoll,3038,757,1080,467,114,7,4 607,"85,9","3,4","80,3","85,2","4,4",77 309,109 149,104 561
10,askoy,29275,6076,8953,4923,1408,138,45 395,80,"7,3",80,"84,3","-0,2",93 835,76 685,74 891
11,audnedal,1780,402,650,264,57,4,11 831,"68,6","12,4","79,7","83,7",-3,73 707,113 584,120 923
12,aukra,3539,850,1170,595,122,16,6 178,76,"11,5","80,6","84,7","22,8",111 839,170 721,130 908
13,aure,3553,940,1311,504,116,13,9 449,"82,1","4,2","80,6","84,7",—,—,—,—
14,aurland,1764,378,669,319,96,4,4 890,"78,6","4,5","80,3","85,2","8,2",78 483,161 686,159 172
15,aurskog-holand,16500,4833,5609,2091,486,57,28 867,"77,5",9,"80,5","84,3","1,3",69 041,73 150,72 172
16,austevoll,5212,1022,1752,753,185,22,6 964,"81,4","6,7",80,"84,3","6,4",97 772,92 601,85 157
17,austrheim,2887,685,1127,362,84,11,10 827,"78,8","7,6",80,"84,3","0,4",89 079,97 984,100 230
18,averoy,5849,1423,2016,884,185,24,11 612,"83,5","4,2","80,6","84,7","3,2",81 027,81 506,77 681
19,balestrand,1279,228,449,273,69,20,4 439,"71,7","11,5","80,3","85,2","-3,1",74 969,162 841,170 751
20,ballangen,2470,809,852,313,56,9,4 962,"82,1","5,5",79,"83,3","4,9",66 794,111 871,107 053
21,balsfjord,5625,1831,1959,692,138,26,3 761,"82,4","5,1","79,6","83,9","3,2",81 137,92 476,89 625
22,bamble,14089,3584,4986,2193,516,77,29 278,"72,4","15,6","79,1","82,8","1,1",63 613,87 742,87 251
23,bardu,4030,813,1322,722,191,12,3 537,"85,3",3,"79,6","83,9","-3,5",94 705,111 183,114 175
24,beiarn,1022,404,341,112,17,6,2 450,"89,1","1,8",79,"83,3","-4,1",89 335,142 546,147 135
25,berg,888,319,281,123,21,6,3 429,"76,1","4,7","79,6","83,9","2,9",118 521,156 971,154 479
26,bergen,281190,50872,76274,62918,32013,1352,570 680,"68,3",12,80,"84,3","4,3",54 860,78 957,76 613
27,berlevag,981,357,307,120,28,6,1 438,"76,9","5,2","77,2","82,3","1,3",232 304,164 217,164 408
28,bindal,1450,425,547,206,28,6,2 464,89,"2,6",79,"83,3","13,7",85 928,147 776,128 907
29,birkenes,5304,1154,1782,763,169,15,9 615,"75,6","10,2","78,8","83,3","-0,6",82 288,85 450,86 022
30,bjerkreim,2807,617,1025,357,97,6,9 753,"83,4","6,9","80,1",84,"2,7",36 342,81 237,81 890
31,bjugn,4904,1282,1713,676,135,16,10 839,"86,2","3,4","80,1",84,"5,9",102 514,102 436,94 806
32,bodo,52024,10476,15084,11000,3957,171,98 044,"78,7","7,1",79,"83,3","<a class=""definition tallet_285209"" href=""#forklaring-tall-285209"">Kommunens lånegjeld per innbygger: 81 866 kroner per 2018</a>",81 866,80 975,80 416
33,bokn,840,194,343,104,14,2,5 052,"83,9","6,9","80,1",84,"8,9",174 849,129 906,114 198
34,bremanger,3705,960,1448,490,104,17,8 689,"80,7","5,8","80,3","85,2","7,1",92 669,126 685,127 332
35,bronnoy,7916,2004,2689,1216,284,23,12 107,"83,5","5,7",79,"83,3","4,2",87 329,98 532,94 474
36,bygland,1192,255,456,224,45,9,6 823,"79,5",6,"78,8","83,3","-0,3",93 502,129 214,137 512
37,bykle,953,181,325,218,44,2,6 584,"72,9","7,2","78,8","83,3","6,1",51 768,284 466,288 025
38,baerum,126841,16136,27867,31046,20566,665,319 879,"63,7","13,4","80,5","84,3","5,3",49 471,84 027,79 441
39,bo-telemark,6630,1297,2017,1350,437,53,22 358,"72,8",9,"79,1","82,8","0,2",73 741,93 182,94 119
40,bo-nordland,2616,1049,766,332,62,10,4 064,80,7,79,"83,3","2,1",95 947,114 925,115 238
41,bomlo,11960,2529,4166,1852,312,43,26 886,"79,6","8,3",80,"84,3","2,6",72 971,85 203,82 223
42,batsfjord,2270,833,625,271,77,28,2 550,"64,4","11,6","77,2","82,3","1,2",92 606,108 193,108 470
43,deatnu-tana,2900,941,880,478,120,20,3 674,"81,7","4,8","77,2","82,3","-1,3",154 610,121 072,121 884
44,divtasvuodna-tysfjord,1925,595,660,286,58,15,5 012,"87,1","3,2",79,"83,3",—,—,—,—
45,dovre,2615,669,1116,332,85,10,8 372,"86,1","4,9","79,3","82,9","-1,5",68 590,104 142,106 763
46,drammen,68933,16141,19435,13436,5022,466,110 369,"57,3","22,3","79,7","83,6","3,6",84 628,82 545,81 102
47,drangedal,4080,1128,1567,480,97,19,7 675,"80,9","9,2","79,1","82,8","0,2",113 878,97 944,99 603
48,dyroy,1129,323,426,185,24,4,1 070,"86,7","2,2","79,6","83,9","8,4",110 888,150 344,139 109
49,donna,1391,420,445,219,44,6,5 600,"82,5","4,7",79,"83,3","12,1",107 693,138 838,123 063
50,eid,6151,1160,2203,1117,273,24,10 761,"82,8","5,5","80,3","85,2","-1,6",135 653,98 351,98 091
51,eide,3433,877,1186,457,109,12,5 868,"86,8","4,3","80,6","84,7","-6,3",93 209,89 530,94 189
52,eidfjord,906,195,363,170,31,3,1 471,"84,4","3,5",80,"84,3","8,2",122 277,201 156,192 817
53,eidsberg,11424,3357,3809,1590,371,80,28 116,"72,3","13,5","79,1","82,8","0,8",59 189,80 657,79 620
54,eidskog,6114,2134,2127,716,138,45,12 363,83,6,"78,9",83,1,78 666,97 334,95 682
55,eidsvoll,24919,6359,7936,3688,1120,143,28 942,"72,3","11,3","80,5","84,3","0,6",64 961,69 551,69 393
56,eigersund,14830,3540,5194,2210,529,87,26 492,"71,8","14,7","80,1",84,"-0,3",62 574,87 644,89 939
57,elverum,21191,5076,6524,4178,1007,122,34 281,"78,9","7,9","78,9",83,"-0,1",98 163,81 244,80 883
58,enebakk,11026,2696,3608,1635,422,59,11 151,"69,9","12,6","80,5","84,3","0,2",90 682,70 256,69 947
59,engerdal,1286,381,486,186,38,10,2 637,"83,7","3,3","78,9",83,"-4,7",74 926,150 601,161 866
60,etne,4077,829,1573,617,133,13,18 489,"83,4",6,80,"84,3","5,2",83 306,92 415,86 987
61,etnedal,1305,446,440,187,32,5,3 995,"83,4","4,1","79,3","82,9","-3,4",56 418,127 087,133 538
62,evenes,1387,396,506,188,41,6,3 686,"80,7","3,7",79,"83,3","-2,8",43 280,126 875,131 291
63,evje-og-hornnes,3546,855,1313,517,142,14,7 577,"74,3","8,8","78,8","83,3","2,2",60 204,90 668,91 808
64,farsund,9695,2178,3627,1376,357,42,30 684,"75,3","10,7","79,7","83,7","3,6",90 642,91 863,89 958
65,fauske-fuosko,9760,2575,3432,1586,327,30,16 592,"83,3","4,8",79,"83,3","-2,4",128 096,88 952,90 079
66,fedje,562,142,194,86,14,6,2 382,"84,7",3,80,"84,3",—,—,—,—
67,fet,11842,2628,3684,2007,708,42,16 375,"71,2","11,8","80,5","84,3","-1,5",102 353,76 704,77 233
68,finnoy,3150,620,1187,509,154,8,10 510,"74,4","9,7","80,1",84,"9,7",84 176,112 931,103 671
69,fitjar,3201,660,1189,466,101,6,10 458,"80,8",8,80,"84,3","5,3",71 551,102 082,95 987
70,fjaler,2770,706,888,493,144,11,5 557,"81,2",3,"80,3","85,2",4,83 884,113 093,108 308
71,fjell,26166,5564,8300,4153,1185,88,35 930,78,"8,7",80,"84,3","-3,6",64 161,68 105,70 346
72,flakstad,1292,507,371,166,31,8,918,"74,4","14,5",79,"83,3","10,1",55 878,117 540,106 025
73,flatanger,1103,298,402,180,48,4,3 406,"82,9","3,4","79,8",84,"21,4",137 680,145 108,111 826
74,flekkefjord,9066,1939,3293,1470,382,35,20 322,"71,2","15,3","79,7","83,7","2,8",74 737,96 371,94 989
75,flesberg,2694,657,986,378,75,13,9 330,82,"6,3","79,7","83,6","0,6",110 431,101 235,100 641
76,flora,11852,2783,3931,2022,476,62,16 973,80,"7,4","80,3","85,2","-0,5",128 621,102 925,103 343
77,fla,1052,336,358,137,48,4,6 986,79,5,"79,7","83,6","3,2",100 907,142 453,137 261
78,folldal,1577,382,620,269,49,3,13 957,"83,2","3,7","78,9",83,"-0,8",73 862,111 512,111 483
79,forsand,1193,304,414,181,29,4,7 343,"75,9","9,2","80,1",84,—,—,—,—
80,fosnes,605,166,257,95,15,3,2 090,"82,1","6,1","79,8",84,"5,2",180 560,159 112,149 694
81,fredrikstad,81772,19643,25459,14920,4177,509,166 276,"67,5","15,2","79,1","82,8","-0,1",68 620,78 053,78 155
82,frogn,15761,2763,4997,3442,1309,69,33 624,71,"9,3","80,5","84,3","0,5",91 149,75 638,75 875
83,froland,5845,1402,2073,763,158,24,15 527,"71,9","15,1","78,8","83,3","-0,9",87 492,84 463,86 357
84,frosta,2632,665,995,362,85,9,12 448,"82,3","4,8","79,8",84,"-1,7",65 451,89 640,90 484
85,fraena,9800,2568,3398,1338,253,43,14 024,"82,8","6,8","80,6","84,7","0,3",72 594,88 805,88 357
86,froya,5068,1521,1535,702,206,15,14 662,"68,7","8,9","80,1",84,"8,9",133 426,109 688,98 579
87,fusa,3861,846,1418,624,140,15,9 239,"84,4","4,7",80,"84,3","6,2",83 113,101 325,95 257
88,fyresdal,1286,247,518,231,63,5,9 889,"78,6","6,1","79,1","82,8","2,2",25 694,138 504,142 271
89,faerder,26700,N/A,—,71,"10,6","79,3","83,7","0,5",87 628,81 965,81 436,,,,
90,forde,13092,2259,3931,2836,888,34,34 352,"82,8","6,2","80,3","85,2","0,4",90 213,89 401,89 202
91,gaivuotna-kafjord-kaivuono,2097,757,635,296,62,10,6 295,"88,7","1,8","79,6","83,9","2,3",170 268,118 959,119 045
92,gamvik,1169,421,341,174,44,7,2 098,"64,7","7,7","77,2","82,3",—,—,—,—
93,gaular,3027,549,1076,540,120,4,5 288,"85,8","6,1","80,3","85,2","4,2",63 216,102 171,98 679
94,gausdal,6112,1546,2356,875,201,21,20 121,"86,6","3,7","79,3","82,9","<a class=""definition tallet_285209"" href=""#forklaring-tall-285209"">Kommunens lånegjeld per innbygger: 98 880 kroner per 2018</a>",98 880,93 365,95 886
95,gildeskal,1978,596,658,312,78,6,4 776,"76,4","8,1",79,"83,3","0,9",113 956,133 229,130 170
96,giske,8398,1720,2577,1429,326,23,12 361,"80,8","5,8","80,6","84,7","-0,5",110 474,76 136,74 004
97,gjemnes,2641,587,984,415,64,7,5 710,"83,6","5,7","80,6","84,7","4,2",58 922,92 516,88 847
98,gjerdrum,6823,1387,2126,1230,380,19,17 035,"72,9","10,8","80,5","84,3","3,2",77 623,75 759,73 385
99,gjerstad,2454,743,939,288,44,13,4 739,"78,6","10,3","78,8","83,3","1,7",134 281,120 317,116 989
100,gjesdal,11899,2644,3893,1766,457,32,37 583,"73,1","11,8","80,1",84,"3,2",76 325,77 760,75 031
101,gjovik,30676,7066,9824,5917,1611,152,57 251,"76,5","9,1","79,3","82,9","0,8",51 678,86 901,85 417
102,gloppen,5836,1071,2051,1168,297,18,24 917,"84,3","5,4","80,3","85,2","-0,3",113 929,105 873,105 144
103,gol,4576,1139,1678,692,178,33,14 028,"76,7",8,"79,7","83,6","-0,3",98 532,120 278,118 772
104,gran,13642,3593,4835,1976,491,101,41 573,"82,7","6,7","79,3","82,9","2,5",58 209,83 503,80 874
105,grane,1493,477,511,183,32,7,2 620,"83,2","4,6",79,"83,3","6,4",46 033,117 193,113 267
106,granvin,937,155,420,160,23,0,1 445,83,6,80,"84,3","2,8",72 784,109 152,107 966
107,gratangen,1105,353,357,163,35,12,2 028,"80,7","6,5","79,6","83,9","2,8",94 273,149 893,146 630
108,grimstad,23247,4541,6856,4621,1519,116,45 792,"67,7","15,9","78,8","83,3","-0,1",56 692,81 171,82 136
109,grong,2374,541,938,391,78,10,8 832,"81,2","5,9","79,8",84,2,164 578,149 056,146 011
110,grue,4646,1551,1731,646,114,32,8 254,"83,8","6,1","78,9",83,"2,1",79 863,96 508,94 427
111,gulen,2322,507,919,374,64,2,5 722,"82,1","5,4","80,3","85,2","11,4",62 621,132 159,117 138
112,guovdageaidnu-kautokeino,2924,904,679,550,144,37,530,"88,2","3,4","77,2","82,3","6,1",62 061,114 967,109 885
113,hadsel,8091,2098,2585,1386,322,43,6 588,"79,2","6,8",79,"83,3","5,1",94 270,102 327,97 890
114,halden,31177,7801,10101,5481,1414,169,59 128,69,16,"79,1","82,8","3,7",82 787,78 670,75 185
115,halsa,1574,367,661,209,38,4,3 680,"85,3",5,"80,6","84,7","4,7",86 255,120 200,115 255
116,hamar,31144,6251,9072,7091,2521,175,103 401,"72,1","10,2","78,9",83,"3,2",73 193,97 510,97 260
117,hamaroy-habmer,1747,486,605,313,94,10,7 277,"80,7","5,7",79,"83,3","1,3",76 334,153 662,152 834
118,hammerfest,10534,2645,2999,1937,607,82,19 045,"72,4","10,6","77,2","82,3","6,7",216 800,136 313,127 377
119,haram,9383,2100,3326,1424,326,25,32 077,76,"9,7","80,6","84,7","-0,4",83 856,76 708,76 082
120,hareid,5155,1177,1706,822,156,20,17 606,"76,6","9,2","80,6","84,7","-1,2",68 259,81 392,82 175
