,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
0,agdenes,1702,452,672,216,48,8,6 214,"85,7","3,6","80,1",84,"0,2",26 020,103 454,109 836
1,alstahaug,7428,1853,2346,1333,376,26,21 580,"80,8","5,3",79,"83,3","2,2",130 544,102 162,99 241
2,alta,20619,5074,5585,4020,1017,100,27 824,"81,3","5,7","77,2","82,3","0,7",73 022,96 924,95 696
3,alvdal,2420,477,949,380,72,11,7 046,"85,1","6,4","78,9",83,"2,4",74 739,107 778,100 828
4,andoy,4776,1417,1689,675,161,32,10 756,"78,9",8,79,"83,3","1,3",61 753,89 007,87 525
5,aremark,1358,398,535,184,32,4,9 570,"76,4","8,1","79,1","82,8","-0,7",95 738,101 322,102 148
6,arendal,44795,9697,14054,8320,2737,208,86 392,"70,3","13,7","78,8","83,3","2,3",83 795,81 558,79 705
7,asker,61420,8598,14280,14932,8853,314,154 313,"65,3","12,4","80,5","84,3","8,5",74 965,81 310,77 059
8,askim,15866,4450,5134,2227,549,110,41 418,"66,5","14,9","79,1","82,8","3,1",67 017,75 915,73 123
9,askvoll,3031,757,1080,467,114,7,4 607,"87,1","3,3","80,3","85,2","3,6",72 754,99 637,96 427
